model,split,source,class,AP50,AP50_95,precision,recall,iou,dice
maskrcnn,test,reported,base of tongue,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,bipolar,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,bot,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,cut,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,endotracheal tube,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,ligasure,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,maryland,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,medial pterygoid muscle,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,monopolar,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,parapharyngeal fat,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,posterior pharyngeal wall,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,prevertebral fascia,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,soft palate,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,reported,suction,n/p,n/p,n/p,n/p,n/p,n/p
maskrcnn,test,recomputed,base of tongue,0.357471,0.178551,0.560973,0.357143,0.739183,0.843502
maskrcnn,test,recomputed,bipolar,0.755820,0.652018,0.970172,0.508328,0.868055,0.926464
maskrcnn,test,recomputed,bot,1.000000,0.718300,0.843801,1.000000,0.847852,0.917594
maskrcnn,test,recomputed,cut,0.501743,0.222660,0.979843,0.349753,0.714687,0.831261
maskrcnn,test,recomputed,endotracheal tube,0.387239,0.349885,0.437500,0.875000,0.938143,0.968046
maskrcnn,test,recomputed,ligasure,0.000000,0.000000,n/p,0.000000,n/p,n/p
maskrcnn,test,recomputed,maryland,0.430563,0.324621,0.422072,0.579310,0.852447,0.917243
maskrcnn,test,recomputed,medial pterygoid muscle,0.819927,0.489611,1.000000,0.727810,0.791633,0.881486
maskrcnn,test,recomputed,monopolar,0.547645,0.452940,0.553740,0.597561,0.898465,0.945262
maskrcnn,test,recomputed,parapharyngeal fat,0.753137,0.351117,1.000000,0.413520,0.716543,0.832811
maskrcnn,test,recomputed,posterior pharyngeal wall,0.389970,0.184797,0.569256,0.345679,0.731925,0.840920
maskrcnn,test,recomputed,prevertebral fascia,0.000000,0.000000,0.000000,0.000000,n/p,n/p
maskrcnn,test,recomputed,soft palate,0.656764,0.325150,0.682739,0.635494,0.759182,0.859383
maskrcnn,test,recomputed,suction,0.624032,0.487294,0.397701,0.871795,0.869345,0.927159
yolo,test,reported,base of tongue,0.445000,0.284000,0.737000,0.357000,n/p,n/p
yolo,test,reported,bipolar,0.714000,0.594000,0.985000,0.500000,n/p,n/p
yolo,test,reported,bot,0.995000,0.796000,0.981000,1.000000,n/p,n/p
yolo,test,reported,cut,0.859000,0.349000,0.738000,0.893000,n/p,n/p
yolo,test,reported,endotracheal tube,0.995000,0.827000,0.992000,1.000000,n/p,n/p
yolo,test,reported,ligasure,0.000000,0.000000,0.000000,0.000000,n/p,n/p
yolo,test,reported,maryland,0.474000,0.333000,0.436000,0.705000,n/p,n/p
yolo,test,reported,medial pterygoid muscle,0.718000,0.373000,0.998000,0.672000,n/p,n/p
yolo,test,reported,monopolar,0.361000,0.336000,0.313000,0.439000,n/p,n/p
yolo,test,reported,parapharyngeal fat,0.814000,0.512000,1.000000,0.696000,n/p,n/p
yolo,test,reported,posterior pharyngeal wall,0.474000,0.185000,0.692000,0.383000,n/p,n/p
yolo,test,reported,prevertebral fascia,0.004160,0.000416,0.000000,0.000000,n/p,n/p
yolo,test,reported,soft palate,0.614000,0.401000,0.810000,0.515000,n/p,n/p
yolo,test,reported,suction,0.597000,0.463000,0.373000,0.833000,n/p,n/p
yolo,test,recomputed,base of tongue,0.423556,0.288016,0.785195,0.365644,0.822212,0.897660
yolo,test,recomputed,bipolar,0.504950,0.504950,1.000000,0.000000,0.960530,0.979863
yolo,test,recomputed,bot,1.000000,0.902866,0.982678,1.000000,0.939744,0.968921
yolo,test,recomputed,cut,0.778762,0.221811,0.715361,0.827338,0.640504,0.778198
yolo,test,recomputed,endotracheal tube,1.000000,0.898371,1.000000,0.999747,0.928681,0.962955
yolo,test,recomputed,ligasure,0.000000,0.000000,n/p,0.000000,n/p,n/p
yolo,test,recomputed,maryland,0.439860,0.314952,0.422223,0.703448,0.856686,0.918938
yolo,test,recomputed,medial pterygoid muscle,0.691843,0.336143,0.987778,0.672131,0.745330,0.852316
yolo,test,recomputed,monopolar,0.357145,0.324167,0.330243,0.439024,0.924911,0.960516
yolo,test,recomputed,parapharyngeal fat,0.811773,0.512185,1.000000,0.716763,0.807197,0.891531
yolo,test,recomputed,posterior pharyngeal wall,0.468311,0.175588,0.675730,0.320988,0.713335,0.828839
yolo,test,recomputed,prevertebral fascia,0.000000,0.000000,0.000000,0.000000,n/p,n/p
yolo,test,recomputed,soft palate,0.555960,0.397362,0.812095,0.469799,0.833585,0.906416
yolo,test,recomputed,suction,0.568446,0.426676,0.341123,0.858974,0.860593,0.922200
sam3_text,test,reported,base of tongue,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,bipolar,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,bot,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,cut,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,endotracheal tube,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,ligasure,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,maryland,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,medial pterygoid muscle,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,monopolar,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,parapharyngeal fat,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,posterior pharyngeal wall,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,prevertebral fascia,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,soft palate,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,reported,suction,n/p,n/p,n/p,n/p,n/p,n/p
sam3_text,test,recomputed,base of tongue,0.104541,0.060490,0.086123,0.614286,0.792739,0.880801
sam3_text,test,recomputed,bipolar,0.025203,0.017840,0.307692,0.062500,0.838090,0.911852
sam3_text,test,recomputed,bot,0.130612,0.104512,0.110820,1.000000,0.887018,0.940117
sam3_text,test,recomputed,cut,0.006817,0.002617,0.086420,0.050360,0.688315,0.814350
sam3_text,test,recomputed,endotracheal tube,0.000000,0.000000,0.000000,0.000000,n/p,n/p
sam3_text,test,recomputed,ligasure,0.000000,0.000000,0.000000,0.000000,n/p,n/p
