epoch,train_loss,val_loss,train_precision,train_recall,val_precision,val_recall,val_mAP50,val_mAP50_95
1,1.139988,1.206535,0.799819,0.862817,0.638326,0.551633,0.549878,0.338273
2,0.582830,1.148923,0.879868,0.921341,0.632057,0.552266,0.579038,0.346339
3,0.474026,1.189572,0.942880,0.935566,0.666569,0.600617,0.568687,0.355817
4,0.422311,1.167956,0.959494,0.962275,0.648851,0.578639,0.560771,0.357384
5,0.380065,1.218560,0.963374,0.968948,0.682626,0.560654,0.566083,0.365470
6,0.359284,1.171863,0.967627,0.981267,0.686462,0.572715,0.576312,0.367333
7,0.335299,1.336752,0.967388,0.981552,0.718194,0.539263,0.554560,0.340054
8,0.316859,1.338259,0.969890,0.919388,0.715132,0.546763,0.555103,0.356695
9,0.263230,1.287592,0.973483,0.992497,0.683176,0.576670,0.562795,0.362410
10,0.247719,1.344450,0.974940,0.860626,0.684446,0.574413,0.561299,0.361261
11,0.241345,1.361782,0.788859,0.993816,0.687544,0.569487,0.559313,0.358967
12,0.234594,1.359007,0.975582,0.860467,0.681307,0.572232,0.559785,0.360510
