epoch,train_loss,val_loss,train_precision,train_recall,val_precision,val_recall,val_mAP50,val_mAP50_95,val_dice_semantic,lr
1,0.951445,0.659551,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.068037,0.000100
2,0.591937,0.523988,0.154864,0.014493,0.352968,0.046377,0.019893,0.002640,0.078461,0.000100
3,0.510553,0.482769,0.274791,0.062789,0.225224,0.071709,0.031714,0.007152,0.178541,0.000100
4,0.478174,0.469249,0.365160,0.074658,0.252936,0.082953,0.043501,0.013360,0.206175,0.000100
5,0.463101,0.462122,0.304069,0.104625,0.198460,0.076145,0.037166,0.009771,0.229606,0.000100
6,0.454812,0.458295,0.299480,0.107819,0.183757,0.081738,0.036295,0.014079,0.240763,0.000099
7,0.449185,0.454118,0.260005,0.101704,0.137020,0.080194,0.057568,0.028815,0.264636,0.000099
8,0.443733,0.450687,0.225772,0.120567,0.153700,0.086947,0.059116,0.030354,0.283121,0.000099
9,0.438570,0.450819,0.224600,0.135882,0.101615,0.072002,0.048142,0.014295,0.290153,0.000098
10,0.433518,0.443610,0.353066,0.175633,0.166921,0.126841,0.082191,0.040263,0.338726,0.000098
11,0.426990,0.437828,0.600456,0.289663,0.368257,0.213954,0.161610,0.074510,0.376618,0.000098
12,0.420853,0.437683,0.417124,0.286098,0.272604,0.218981,0.160272,0.070623,0.381193,0.000097
13,0.414098,0.431033,0.489041,0.344637,0.342793,0.245402,0.190466,0.093539,0.425747,0.000097
14,0.406759,0.426910,0.504130,0.364277,0.358814,0.249001,0.205362,0.100672,0.452360,0.000096
15,0.401412,0.428023,0.534949,0.396774,0.338271,0.257055,0.210300,0.097413,0.444482,0.000095
16,0.395257,0.424197,0.579353,0.476260,0.343767,0.281471,0.212846,0.098587,0.466757,0.000095
17,0.389679,0.419968,0.592332,0.572568,0.380745,0.278993,0.235657,0.113651,0.498432,0.000094
18,0.384550,0.420252,0.658271,0.593287,0.362844,0.272712,0.230831,0.124200,0.499500,0.000093
19,0.380109,0.415001,0.650580,0.617503,0.477350,0.325018,0.289313,0.148510,0.533154,0.000092
20,0.377793,0.414172,0.686378,0.624596,0.425365,0.317958,0.303100,0.140479,0.539234,0.000091
21,0.375014,0.415528,0.692085,0.638469,0.425605,0.312343,0.254146,0.134206,0.525706,0.000091
22,0.372849,0.411045,0.694274,0.651813,0.429006,0.344889,0.327214,0.182668,0.552367,0.000090
23,0.370457,0.412809,0.735202,0.668952,0.448217,0.329556,0.319618,0.171341,0.543487,0.000089
24,0.369408,0.411044,0.726706,0.679511,0.445018,0.332849,0.314445,0.174859,0.548752,0.000088
25,0.367717,0.408145,0.757535,0.684739,0.404694,0.399977,0.364495,0.207075,0.568193,0.000087
26,0.366038,0.410841,0.757137,0.686122,0.406322,0.382556,0.339486,0.184665,0.548977,0.000086
27,0.365682,0.410060,0.768136,0.698801,0.406307,0.376652,0.339523,0.197816,0.555204,0.000084
28,0.363657,0.406747,0.801108,0.717934,0.409574,0.389740,0.367747,0.218565,0.572637,0.000083
29,0.362922,0.406313,0.743303,0.724131,0.420621,0.407659,0.365674,0.215784,0.580915,0.000082
30,0.362268,0.408427,0.810250,0.725416,0.385722,0.386050,0.344482,0.191008,0.566018,0.000081
31,0.361381,0.407381,0.756320,0.732893,0.375279,0.405941,0.364482,0.209646,0.580790,0.000080
32,0.360957,0.407955,0.748817,0.716058,0.377458,0.393170,0.351724,0.197686,0.581941,0.000078
33,0.360218,0.403360,0.780044,0.745509,0.386973,0.414846,0.383151,0.231752,0.612896,0.000077
34,0.359499,0.404194,0.781086,0.746577,0.398331,0.431377,0.393748,0.219803,0.609858,0.000076
35,0.358749,0.407023,0.760514,0.743700,0.389721,0.384251,0.360745,0.226703,0.591268,0.000074
36,0.358644,0.401849,0.784287,0.751509,0.396935,0.434776,0.382569,0.238502,0.621830,0.000073
37,0.357617,0.404428,0.776097,0.750560,0.400081,0.397288,0.336395,0.202950,0.607450,0.000072
38,0.357340,0.400980,0.792216,0.767229,0.389854,0.436096,0.385379,0.219165,0.628312,0.000070
39,0.356990,0.406801,0.812939,0.775594,0.386947,0.402905,0.351316,0.191127,0.590738,0.000069
40,0.356332,0.400842,0.785266,0.762952,0.399263,0.442050,0.394275,0.231204,0.625360,0.000067
41,0.356084,0.402894,0.786895,0.757279,0.383096,0.403615,0.368829,0.219737,0.608841,0.000066
42,0.355527,0.401772,0.789185,0.768641,0.406719,0.445703,0.386635,0.218541,0.617881,0.000064
43,0.355304,0.397742,0.822448,0.781820,0.413870,0.434855,0.396705,0.236793,0.641655,0.000063
44,0.354744,0.399546,0.793747,0.762215,0.399377,0.436203,0.390421,0.225176,0.628989,0.000061
45,0.354475,0.399746,0.804905,0.764896,0.420239,0.424868,0.392956,0.241422,0.627948,0.000060
46,0.354102,0.398023,0.791711,0.762182,0.390328,0.448346,0.401683,0.236730,0.637816,0.000058
47,0.354086,0.398317,0.797534,0.767324,0.385644,0.449848,0.406156,0.245598,0.635799,0.000057
48,0.353578,0.397816,0.792607,0.763824,0.394505,0.455303,0.404377,0.242021,0.636936,0.000055
49,0.353482,0.399039,0.818806,0.778631,0.401820,0.423050,0.392434,0.234282,0.630814,0.000054
50,0.352813,0.399544,0.840590,0.784628,0.383777,0.435831,0.393937,0.237689,0.630321,0.000052
51,0.352854,0.397330,0.799417,0.771440,0.397439,0.442888,0.404459,0.256170,0.641676,0.000051
52,0.352391,0.398016,0.859469,0.794475,0.393517,0.443010,0.405308,0.243177,0.638315,0.000049
53,0.352043,0.397727,0.810593,0.776692,0.383660,0.452500,0.398355,0.248753,0.637138,0.000047
54,0.351895,0.399052,0.817124,0.780499,0.393255,0.432234,0.392214,0.232070,0.630741,0.000046
55,0.351730,0.397954,0.843928,0.802592,0.390823,0.454926,0.400513,0.245923,0.638624,0.000044
56,0.351372,0.398124,0.820408,0.789424,0.397785,0.445316,0.400158,0.256342,0.636418,0.000043
57,0.350961,0.398963,0.814758,0.780562,0.405463,0.457476,0.408465,0.237896,0.630909,0.000041
58,0.350855,0.398665,0.827985,0.792048,0.393545,0.451303,0.403632,0.247385,0.633317,0.000040
59,0.350858,0.396955,0.845257,0.807752,0.398854,0.460381,0.421406,0.260677,0.644619,0.000038
60,0.350441,0.398332,0.828831,0.802182,0.392124,0.440850,0.398824,0.239630,0.635849,0.000037
61,0.350353,0.397839,0.825976,0.797402,0.399563,0.455295,0.408204,0.251713,0.638126,0.000035
62,0.350255,0.399258,0.820716,0.799541,0.407417,0.456892,0.414802,0.241166,0.631448,0.000034
63,0.350191,0.399087,0.834564,0.801157,0.413246,0.444404,0.402737,0.239349,0.633561,0.000032
64,0.349866,0.395885,0.848652,0.810127,0.419795,0.479800,0.426967,0.254865,0.649764,0.000031
65,0.349548,0.398159,0.836339,0.804905,0.404699,0.463498,0.415220,0.248157,0.637787,0.000029
66,0.349675,0.399442,0.836362,0.804918,0.411349,0.456145,0.412158,0.245472,0.628346,0.000028
67,0.349459,0.397929,0.845982,0.816792,0.407875,0.462198,0.416710,0.244623,0.639244,0.000027
68,0.349296,0.397701,0.857916,0.825203,0.420824,0.460058,0.414808,0.244968,0.640536,0.000025
69,0.349328,0.398720,0.847453,0.813774,0.416986,0.462158,0.413138,0.242832,0.634353,0.000024
70,0.349112,0.396554,0.850292,0.824509,0.422937,0.472070,0.425828,0.255343,0.646123,0.000023
71,0.349038,0.396007,0.859778,0.834238,0.427815,0.484234,0.431223,0.258199,0.650414,0.000021
72,0.349048,0.397356,0.839289,0.816542,0.409272,0.464272,0.414048,0.249937,0.641780,0.000020
73,0.348911,0.396193,0.853639,0.834127,0.413799,0.479453,0.426547,0.255790,0.648297,0.000019
74,0.348794,0.395750,0.860407,0.833573,0.430785,0.480239,0.428403,0.260053,0.651996,0.000018
75,0.348698,0.396257,0.848296,0.826409,0.421019,0.478097,0.420630,0.251186,0.647925,0.000017
76,0.348457,0.396239,0.863580,0.835307,0.420892,0.470352,0.421364,0.252987,0.647091,0.000015
77,0.348309,0.396142,0.846953,0.823581,0.407803,0.471244,0.419174,0.255327,0.647955,0.000014
78,0.348331,0.396112,0.853204,0.829226,0.415309,0.472420,0.423424,0.251397,0.649370,0.000013
79,0.348256,0.396907,0.851685,0.828031,0.409066,0.467986,0.417274,0.250664,0.644763,0.000012
80,0.348094,0.396466,0.858645,0.837583,0.416851,0.469846,0.422366,0.254137,0.646792,0.000011
81,0.348010,0.396410,0.851952,0.825932,0.415842,0.472230,0.420679,0.251448,0.646071,0.000010
