epoch,train_loss,val_loss,train_precision,train_recall,val_precision,val_recall,val_mAP50,val_mAP50_95
1,9.947460,8.347700,0.04961832061068702,0.03367875647668394,0.06666666666666667,0.03581267217630854,0.035666666666666666,0.03316716727716728
2,7.648270,7.896860,0.09360961150290864,0.47831754331129633,0.09963000554930924,0.3800703323694844,0.2692046203422393,0.20104086909337734
3,6.618930,7.367170,0.8710150151832561,0.4533068837444503,0.8487062363702675,0.31822573628782547,0.3800700923200866,0.26223364197037974
4,5.686140,6.350520,0.8600321712623205,0.546048563858011,0.6566258742839874,0.42410115966213674,0.4591421302058951,0.2990821691763509
5,5.055480,5.581910,0.8364119645372056,0.6426289530181609,0.5814872337355583,0.5229302291565113,0.5313605145424007,0.34627684965421623
6,4.567350,6.556660,0.8704690003564522,0.6508709929026513,0.5212392712010573,0.4775601423196194,0.4467214710931764,0.27009516482042195
7,4.331730,5.615400,0.8970725042268698,0.6995053111042672,0.6001114232212312,0.5101594401446051,0.5037905107818439,0.3104746516038019
8,4.212420,5.362390,0.927115966864399,0.7192962759255966,0.8686299858723605,0.47268512345071884,0.5651670444795497,0.35619118918769405
9,4.068370,5.330390,0.8377105373480824,0.7343043195510153,0.5411140494906285,0.5914320706194026,0.5856420011848243,0.3906752084772805
10,3.950120,5.041450,0.8572357843093285,0.7617245784784679,0.6575765004403603,0.602487774486666,0.6279494951719212,0.40703575052171914
11,3.909390,5.263410,0.8613363939717206,0.7638910681408394,0.7916176961410135,0.5157939865270037,0.6159777616925302,0.39751928766581335
12,3.787920,4.912920,0.8798473715733658,0.7788154773227918,0.5901837329424038,0.6072955141878552,0.6215937822967097,0.4100826835233188
13,3.744900,5.115530,0.869029099485248,0.8008264962340568,0.5742110887313427,0.6385521448968078,0.6272842997957118,0.38530779269577276
14,3.669340,5.024140,0.8836833696696412,0.7657292591078623,0.8032169306772254,0.5636489938869099,0.6452548963442684,0.42177993484453213
15,3.702350,4.994930,0.8821691475091538,0.7845552042721445,0.6362971831382781,0.624298119561854,0.6228513796106654,0.39388711503254553
16,3.559180,4.773940,0.86868831583175,0.7909097879844394,0.7472126619835406,0.5753620648215596,0.6708334978343977,0.4167748055322568
17,3.572580,4.920310,0.8831102377586786,0.7987105609891637,0.8039721250312792,0.5691600118712627,0.655742228246771,0.4202492535078358
18,3.513030,4.674380,0.8727356277170495,0.8051809034170889,0.8080708942386163,0.6205940144959935,0.6615007486422875,0.43618776866033326
19,3.476900,4.951270,0.8881607497687866,0.8046334121307881,0.6543228706469316,0.6469663261713242,0.6539094805622697,0.41178310699507725
20,3.489070,4.794140,0.8806606697793127,0.7972871492359641,0.6631520628874767,0.6394582494113569,0.647958386250805,0.42335752185824677
