class,Mask R-CNN AP@0.5,Mask R-CNN AP@0.5:0.95,YOLO11n AP@0.5,YOLO11n AP@0.5:0.95,SAM3+YOLO AP@0.5,SAM3+YOLO AP@0.5:0.95,MONAI AP@0.5,MONAI AP@0.5:0.95
base of tongue,0.357,0.179,0.424,0.288,0.424,0.280,0.023,0.004
bipolar,0.756,0.652,0.505,0.505,0.505,0.505,0.958,0.720
bot,1.000,0.718,1.000,0.903,1.000,0.806,1.000,0.710
cut,0.502,0.223,0.779,0.222,0.616,0.116,0.461,0.150
endotracheal tube,0.387,0.350,1.000,0.898,1.000,0.903,0.683,0.351
ligasure,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
maryland,0.431,0.325,0.440,0.315,0.434,0.294,0.391,0.217
medial pterygoid muscle,0.820,0.490,0.692,0.336,0.692,0.418,0.581,0.296
monopolar,0.548,0.453,0.357,0.324,0.357,0.306,0.390,0.286
parapharyngeal fat,0.753,0.351,0.812,0.512,0.779,0.453,0.782,0.354
posterior pharyngeal wall,0.390,0.185,0.468,0.176,0.435,0.196,0.359,0.072
prevertebral fascia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
soft palate,0.657,0.325,0.556,0.397,0.184,0.130,0.283,0.205
suction,0.624,0.487,0.568,0.427,0.559,0.426,0.447,0.263
mean (aggregate),0.516,0.338,0.543,0.379,0.499,0.345,0.454,0.259
