epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1889,1.30244,3.05923,4.2324,1.35339,0,0.06667,0.03581,0.03567,0.03214,0.06667,0.03581,0.03567,0.03313,0.99564,2.27467,4.09247,0.98492,0,0.000130435,0.000130435,0.000130435
2,100.437,1.05614,1.92892,3.53301,1.1302,0,0.10072,0.38267,0.26962,0.20964,0.10032,0.38007,0.26954,0.2015,1.07109,2.12223,3.71253,0.99101,0,0.000259416,0.000259416,0.000259416
3,149.434,1.09455,1.71726,2.67485,1.13227,0,0.84997,0.31887,0.38553,0.2825,0.84863,0.31807,0.38025,0.26266,1.22932,2.16802,2.85722,1.11261,0,0.000383997,0.000383997,0.000383997
4,198.527,1.06853,1.61831,1.87587,1.12343,0,0.66048,0.43107,0.47532,0.32268,0.65472,0.42694,0.45944,0.30026,1.20599,1.89161,2.15122,1.1017,0,0.0003802,0.0003802,0.0003802
5,247.621,0.97732,1.55231,1.43351,1.09234,0,0.58723,0.52757,0.53391,0.37934,0.58709,0.52231,0.53183,0.34892,1.08303,1.80735,1.63946,1.05207,0,0.0003736,0.0003736,0.0003736
6,296.355,0.88698,1.45436,1.16375,1.06226,0,0.52456,0.48453,0.46256,0.29933,0.52087,0.47746,0.44626,0.27238,1.22736,2.2275,1.89547,1.20633,0,0.000367,0.000367,0.000367
7,345.608,0.84906,1.41615,1.02826,1.03826,0,0.60834,0.51623,0.51939,0.35359,0.60045,0.51053,0.5046,0.31218,1.06378,1.9764,1.5182,1.05702,0,0.0003604,0.0003604,0.0003604
8,394.585,0.82804,1.40034,0.95128,1.03276,0,0.87527,0.47589,0.57762,0.40554,0.86947,0.47259,0.56572,0.35767,1.0201,1.91796,1.39396,1.03037,0,0.0003538,0.0003538,0.0003538
9,443.886,0.8004,1.36767,0.88443,1.01587,0,0.54643,0.60028,0.59594,0.41634,0.54138,0.59086,0.58593,0.39205,1.04508,1.896,1.34773,1.04158,0,0.0003472,0.0003472,0.0003472
10,492.757,0.77935,1.32996,0.83583,1.00498,0,0.66835,0.60979,0.64062,0.45042,0.65785,0.60191,0.62824,0.40798,0.99618,1.82592,1.22163,0.99772,0,0.0003406,0.0003406,0.0003406
11,541.43,0.77058,1.33892,0.80527,0.99462,0,0.79743,0.53676,0.63608,0.44908,0.79073,0.51532,0.61492,0.39825,0.99605,1.91206,1.35686,0.99844,0,0.000334,0.000334,0.000334
